user_id,penalty,points,rank
Kskinner,8184,36,1127
Ktaro,7388,12,2578
Kudada,3610,11,2983
Kumarajiva,2001,23,1615
KungA,6949,36,1070
Kutso,3947,36,1006
Kyan40,8081,50,401
Kyang,2715,11,2853
Kyugo,1399,11,2700
L.I.S.,7809,25,1452
LHiC,8438,38,621
LJP,3581,11,2980
LMH,2068,23,1621
LXLWDGY,10139,38,665
LYW,8169,25,1473
LYZ,8276,37,879
LaRourke,7749,38,589
Labib666,5646,36,1031
Lalaland,3540,23,1815
Lameiro,3633,11,2986
Landertxu,6656,52,189
Lanfeust,8333,24,1564
Lasha.Lakirbaia,7371,38,580
LashaBuxo,3920,11,3014
LauZi,6833,37,768
Laurie,8253,25,1480
LazyAnna,9483,23,2426
LeCaRiBoU,2396,23,1657
LeandroL,3649,12,2486
Leasty,6121,38,536
LeonardoBlanger,5874,36,1038
LeonardoXavier,4689,25,1335
Leonid,2718,23,1696
Leopan,6773,36,1064
Lepetrandr,8650,51,343
LeppyR64,8396,37,892
Lepton.s,3164,23,1756
LiTi,5810,37,716
LiYanliang,1376,11,2697
LiangYaxiong,9917,51,359
Life,9238,52,292
Lightmoon,7167,50,375
Little.John,7086,23,2267
Littlegeek,3794,11,3006
LiuGang,7313,52,213
LiuHuang,2111,23,1625
Ljq,8882,65,124
Lo.R.D,7503,37,812
LoVein,7959,36,1114
Lonelly,7569,37,821
Longo11070001,5056,37,693
Look.107,1305,11,2682
LordDuran,7370,38,579
Louise.de.La.Valliere,8446,12,2609
LovelyPLY,3289,36,1003
Lovro,6371,52,180
LoxFalcon,3653,11,2988
Lukasz16a,8522,23,2380
Lutyj,4736,37,681
M.Aladdin,9111,38,651
M.M.Z,6967,36,1071
M.Saito,6045,23,2168
M.Sayed,3683,11,2992
ME.py,7575,36,1097
MMeadows,5955,23,2159
MRoizner,5930,52,172
MaWenkai,1485,11,2714
MadHatter,6167,38,540
Maestro,6825,37,767
Magda95,4455,38,498
MagiMaster,4495,25,1330
Maguro,7704,23,2322
MahmoudSaied,4177,23,1918
Majka,5502,27,1246
MakinoRuki,3392,23,1784
MaksDP,2226,11,2795
Maksud,4757,23,2023
MangoCoder,7118,23,2271
Manoprenko,2449,23,1664
ManuelPineda,4558,38,500
Marcin.Smulewicz,8490,100,23
Marimout,5458,12,2531
Marjan0003,2927,11,2890
Martial,8850,37,948
MaryN,3323,11,2943
Mastojun,5694,23,2132
MatFiz,4482,23,1972
MatMatMat,3893,23,1875
MatRush,1907,23,1613
Matej,9232,50,451
MathProgrammer,2891,11,2884
Mathfac,8458,38,622
Mathieu.Mines,5500,13,2445
MatiaCo,7994,25,1465
Matjaz,8007,36,1117
MatteoJug,1740,11,2743
MaxMorin,1350,11,2693
MaxPlus314,6875,25,1409
MaxPylypovych,8851,37,949
MaximBorodin,2321,11,2812
MaximKulikov,9094,37,972
MaximM,4284,23,1936
Mc...,9093,37,971
McJacob,2132,11,2787
McNelly,6693,38,555
Me.,5537,23,2112
Medafred,9044,25,1528
MedvDanil,9080,38,649
Melegy,8714,36,1160
Merkurev,9056,86,35
Merlinhool,5568,37,706
MiaZ,8864,27,1287
MichelJ,8516,37,899
Mihai22e,1857,23,1609
MikeMirzayanov,4945,37,689
MikeOlsen,10402,40,478
Mikester95,7522,50,382
MikeyG,7736,27,1269
MinWoo,4238,23,1931
MingQin,7824,23,2330
MingTang,3074,11,2917
Minicat,7296,23,2289
Minilek,2583,23,1680
Mining,8879,23,2405
MiriTheRing,7593,37,823
Misanthrop,9174,52,291
MisterAnderson,6161,36,1050
Mochavic,7895,38,598
Mohamed.Gaber,6192,23,2191
Mohamed.Ramzy,2664,23,1686
MohamedBassem,2224,23,1637
Mohammad.JRS,7038,50,370
Mohammad.Yasser,6071,25,1380
Mohammadro,7549,50,384
Monads,6787,52,192
MooseBoys,7288,52,212
MorganHackprog,2932,11,2892
Moroten.,7453,23,2303
Mosa,2312,23,1648
MottyP,4602,23,1995
Movie,3810,38,483
Mr.X,5173,23,2073
MrBearUA,7667,36,1100
MrDave,8804,36,1165
MrDindows,3596,38,482
MrHamdulay,8243,23,2359
MrLantan,5989,37,721
Mrkimkim,9629,51,355
Muali,7695,52,229
Mudream,7948,36,1113
Munin,8597,37,909
Murtaught,3972,23,1886
NAT,4884,37,688
NGG,4411,23,1959
NMZL,1662,11,2739
NTheo,8458,36,1144
NVAL,415,11,2632
Na2a,4432,38,495
Natureal,7646,37,828
NegiMagnet,2524,23,1668
Nekomimimi,6869,23,2252
Nekosyndrome,9530,37,992
Nerevar,6513,81,43
Nestman,9714,37,999
Neverauskas,4963,23,2054
Neverous,3340,11,2945
NiKS,8641,12,2616
Niaz,8173,23,2350
Nick000,4551,23,1982
Nickle,3058,12,2476
NicoLwk,6142,36,1048
Nightelfpala,1997,11,2770
NikitaD,9326,36,1197
Nikitosh,6039,50,361
Niko31,6092,52,173
NikolayKochetov,6413,12,2551
NilayVaish,1734,23,1603
Niloy.D.Rocker,4417,23,1963
Nima.P,3785,11,3005
Nin0,5208,37,696
Nipuna.Samarasekara,8360,52,252
Nishad,7137,23,2277
Nishant.raj,7089,38,568
NoNo,2899,11,2885
NoS,8207,25,1476
Noble.Mushtak,3212,11,2933
Nontan,7888,12,2591
Nothing.L,4049,23,1899
NourElRashidy,2907,12,2471
Noureldin,3987,23,1889
Novemura,3435,11,2962
NuM,8581,52,261
OIer1007,7744,37,835
OMGTallMonster,5587,38,523
OVR,7549,38,586
OakChawit,7791,37,839
OcoToOo,4575,12,2511
Oleg805,9455,52,303
OlegHaracidi,2723,11,2854
OmaaarZ,4854,23,2041
OmarHashim,7990,23,2341
Omelianenko,7424,23,2300
OneTouchFinish,4898,23,2048
OptimusNishant,6828,23,2247
Opu,5158,37,695
Orlangur,1807,25,1304
Orpinexyw,5370,38,514
Oswald,8722,12,2619
Oswaldo,4048,12,2497
Ouroboros,5446,23,2101
Owi,7958,50,396
PGoerlach,8937,29,1233
PaLy,8687,37,928
PaeP3nguin,8858,25,1520
Pasqual45,7190,67,72
Paul.T,8313,12,2607
PaulJefferys,8737,65,119
Pavel.Sheftelevich,5896,37,717
PavelKunyavskiy,6390,100,9
PavelKuznetsov,4773,38,505
Pavol,9139,36,1189
Payton,10086,25,1551
PearGod,6420,12,2552
Perlik,8052,51,329
Person,5126,25,1346
Phicar,3556,23,1818
PlayLikeNeverB4,8815,50,433
PlutoShe,7852,37,845
Ply.py,4788,23,2032
Poldnev,6543,52,184
Poor,4543,23,1981
Prahal,8803,23,2397
PrashantM,6168,37,733
Prime21,9237,37,980
Prime541,9039,25,1527
Progbeat,9057,65,131
Programist,8840,37,947
ProjectZero,2950,11,2899
ProphetOvDarkness,2614,23,1682
Pufforrohk,9372,67,75
PurpleHeart,8350,23,2369
Pushkarmishra,3393,23,1785
QPHutu,4777,36,1013
QuentinB,8333,29,1231
Quy,4570,23,1985
Qwrk,6799,23,2242
RGRGRG,8019,24,1562
RS205,9141,12,2630
Ra16bit,6804,52,193
Ra8,3676,23,1843
Radewoosh,8838,36,1172
RadiantRazor,4797,25,1337
RafiKamal,2217,23,1634
Ragnar,6399,52,181
Rahotop,7871,27,1273
RahulBhati,4797,23,2033
Raindrop.Nick,3288,11,2939
Rainto96,7809,36,1108
Rajnikanth,2086,11,2777
RalfKistner,7825,85,40
RalphFurmaniak,7779,100,17
Ramis,2892,23,1716
Rasmus,4055,23,1900
Ratmir15,8612,23,2387
Ravi1G,7316,23,2292
Raynger,3752,11,3002
ReaverSe,5883,25,1373
Rebryk,4916,38,507
ReiraCofage,4560,38,501
Renelvon,9698,23,2429
Retrograd,1731,23,1602
RexII,9026,13,2463
Reza.Ashtiani,1636,23,1592
RezaSi,6282,23,2198
RiaD,7081,66,79
RichardZapor,8410,23,2372
RidgeX,3318,11,2942
Ridowan,2751,11,2860
Ripatti,4613,37,678
Ripounet,3450,23,1799
Ristretto,9412,37,989
RiversDeng,2687,23,1693
RoBa,4925,38,508
Robert.Rosolek,4980,37,691
Roberto.HC,2926,11,2889
RogerB,8389,25,1486
Roman1,8221,37,875
Romka,8242,65,112
RoryK,9445,38,656
RosomaczQ,6724,38,556
Roukanken,6532,37,758
Rtriangle,7547,23,2312
Ruichao,9407,37,988
Ruki,7927,23,2335
RupertW,7190,37,793
RuslanGatin,6007,36,1043
Ryan,1216,11,2673
RyanLeonel,8264,36,1131
S.Yesipenko,9698,50,459
S7012MY,849,11,2641
SANCHUI0814,1242,11,2676
SCL,2547,23,1674
SIOFive,8506,36,1146
SSSJOLIN,9709,50,461
Sadia.013,6304,23,2202
Safadurimo,3423,11,2960
Sagar.topcoder,5146,23,2070
Saint.Moustache.Leftovers,5610,23,2119
Sakib,7415,38,581
Salls,6309,25,1385
Salvare219,9589,50,458
Sameth,5350,25,1352
Sammax,8509,36,1148
Sanityking,5915,23,2150
Sapog,9919,25,1547
Sasha,7292,51,321
Sasha.Pshenychnyy,10287,36,1222
SceneTree,6193,37,742
Scharrels,2760,11,2861
Schullz,3866,23,1872
Sean223,7954,37,855
Sedols,5784,23,2137
Seemann,7972,66,81
Selat,8011,50,399
SenseiKiwi,2094,11,2779
SerVasilich,2862,11,2876
Serene.Phoenix,7233,52,208
SergGr,5607,27,1247
SergeiF,5442,27,1245
Sergey.Bankevich,8201,56,149
SergeyMiller,7184,23,2278
