user_id,syatem_time,wall_clock,system_time,blanks,avg_memory,compiler_version,language,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
Greentie,-,-,-,11,-,-,java,51,-,1,-,-,-1,12,-,-,-,-,-
rotoZOOM,0.00,0.00,0.00,6,0,-,C++,67,0,0,0,0,0,0,0,0,8320,2696,0.00
ecnerwala,0.00,0.00,0.00,3,0,-,C++,16,0,0,0,0,0,0,0,0,11976,2464,0.00
Raditzan,0.00,0.02,0.00,7,0,2.7,Python,29,0,0,0,0,0,0,0,0,-,6448,0.02
Adac,0.00,-,-,12,-,-,C#,114,-,1,-,-,-1,0,-,-,-,-,-
jmikkola,0.00,0.00,0.00,0,0,2.7,Python,17,0,0,0,0,0,0,0,0,-,6432,0.00
Smylic,0.00,0.00,0.00,8,0,-,C++,20,0,0,0,0,0,0,0,0,10072,2492,0.00
gongy,0.00,0.00,0.00,2,0,-,C++,28,0,0,0,0,0,0,0,0,22968,2620,0.00
Woreviam,0.00,0.00,0.00,16,0,-,C++,27,0,0,0,0,0,0,0,0,10776,2608,0.00
chowy993,0.00,0.04,0.00,24,0,System.Numerics,C#,93,0,0,0,0,0,2,0,0,-,21644,0.03
safarisoul,0.00,0.04,0.00,9,0,-,java,53,0,1,0,0,1,2,64,0,-,21448,0.03
otan,0.00,0.02,0.00,6,0,2.7,Python,28,0,0,0,0,0,4,0,0,-,6596,0.02
mskiba,0.00,0.00,0.00,1,0,2.7,Python,9,0,0,0,0,0,0,0,0,-,6412,0.00
Jawnan,0.00,0.04,0.00,2,0,-,java,21,0,0,0,0,0,3,64,0,-,21656,0.04
bubblecn,0.00,0.05,0.00,4,0,-,java,70,0,0,0,0,1,4,64,0,-,21464,0.04
srinidhidodo,0.00,0.00,0.00,1,0,3.5,Python,30,0,0,0,0,2,2,0,0,-,7220,0.00
nedp,0.00,0.00,0.00,10,0,3.5,Python,28,0,0,0,0,2,8,0,0,-,7220,0.00
MMilanov,0.00,0.01,0.00,10,0,-,C#,40,0,0,0,0,1,0,0,0,-,13924,0.01
zzc0817,0.00,0.00,0.00,1,0,-,C++,23,0,0,0,0,0,0,0,0,7400,2256,0.00
zhrq,0.00,0.00,0.00,1,0,-,C++,18,0,0,0,0,0,3,0,0,9552,2596,0.00
zscloverinyo,0.00,0.00,0.00,3,0,-,C++,40,0,0,0,0,0,0,0,0,9944,2516,0.00
Omrigan,0.00,0.00,0.00,2,0,3.5,Python,20,0,1,0,0,2,0,0,0,-,7204,0.00
Mysteryname,0.00,0.00,0.00,6,0,-,C++,31,0,0,0,0,0,7,0,0,8152,2208,0.00
cherudim9,-,-,-,15,-,-,C++,52,-,1,-,-,-1,0,-,-,-,-,-
tmt514,0.00,0.00,0.00,3,0,-,C++,33,0,0,0,0,0,1,0,0,9792,2612,0.00
quasisphere,0.00,0.00,0.00,4,0,-,C++,36,0,0,0,0,0,1,0,0,12392,2536,0.00
Aerodonkey,0.00,0.00,0.00,2,0,2.7,Python,13,0,0,0,0,0,1,0,0,-,6260,0.00
yangff,0.00,0.00,0.00,3,0,-,C++,24,0,0,0,0,0,0,0,0,7896,2196,0.00
amatissart,0.00,0.01,0.00,7,0,2.7,Python,23,0,0,0,0,0,1,0,0,-,6528,0.01
clrs97,0.00,0.00,0.00,0,0,-,C++,13,0,0,0,0,0,0,0,0,7608,2424,0.00
tomsmeding,0.00,0.00,0.00,6,0,-,C++,57,0,0,0,0,0,3,0,0,97392,2564,0.00
mr146,0.00,0.00,0.00,8,0,-,C++,27,0,0,0,0,0,0,0,0,7704,2436,0.00
Refactula,0.00,0.06,0.00,13,0,-,java,70,0,0,0,0,0,2,64,0,-,23412,0.04
zglicz,0.00,0.00,0.00,2,0,-,C++,55,0,0,0,0,0,0,0,0,13272,2516,0.00
Yude,0.00,0.00,0.00,2,0,-,C++,66,0,0,0,0,0,0,0,0,11528,2608,0.00
kawasaki,0.00,0.06,0.00,6,0,2.7,Python,25,0,0,0,0,0,10,0,0,-,11776,0.06
Mazub,0.00,0.00,0.00,2,0,2.7,Python,18,0,0,0,0,0,0,0,0,-,6360,0.00
polarisunique,0.00,0.00,0.00,3,0,-,C++,35,0,0,0,0,0,1,0,0,12088,2548,0.00
zerokugi,0.00,0.00,0.00,8,0,-,C++,49,0,0,0,0,0,12,0,0,12368,2420,0.00
Mathlover,0.03,0.72,0.01,0,0,-,C++,55,0,0,0,0,0,3,137288,0,17680,2748,0.70
tongcx,0.00,0.00,0.00,2,0,2.7,Python,10,0,0,0,0,0,0,0,0,-,6436,0.00
fcueto,0.00,0.00,0.00,23,0,3.5,Python,53,0,0,0,0,2,8,0,0,-,7204,0.00
singleheart,0.00,0.03,0.00,4,0,2.7,Python,23,0,0,0,0,0,5,0,0,-,6636,0.03
DUPI,-,-,-,7,-,2.7,Python,37,-,0,-,-,1,3,-,-,-,-,-
Daydreamer,0.00,1.81,0.00,17,0,-,C++,50,0,0,0,0,0,1,0,0,176168,2612,1.81
Zimmux,0.00,0.00,0.00,2,0,2.7,Python,7,0,0,0,0,0,0,0,0,-,6520,0.00
TheUnthinkable,0.00,0.00,0.00,12,0,-,C++,48,0,0,0,0,1,6,0,0,13408,2576,0.00
Bossle,0.00,0.00,0.00,1,0,-,C++,19,0,0,0,0,0,0,0,0,10728,2628,0.00
sunryze,0.00,0.00,0.00,8,0,2.7,Python,36,0,0,0,0,0,2,8,0,-,6772,0.00
tmv,0.00,0.00,0.00,10,0,-,C++,38,0,0,0,0,0,1,0,0,11368,2448,0.00
vexorian,0.00,0.00,0.00,17,0,-,C++,163,0,0,0,0,0,28,0,0,14640,2516,0.00
OneStrugglingRookie,-,-,-,7,-,2.7,Python,19,-,0,-,-,1,2,-,-,-,-,-
StarCuriosity,0.00,0.00,0.00,8,0,-,C++,35,0,0,0,0,134,0,0,0,26528,2480,0.00
LiranR,0.00,0.00,0.00,0,0,2.7,Python,5,0,0,0,0,0,0,0,0,-,6468,0.00
zhuohan123,-,-,-,0,-,-,C++,24,-,0,-,-,-15,0,-,-,10624,-,-
letsRock,0.00,0.00,0.00,13,0,-,C++,46,0,0,0,0,0,3,0,0,16336,2620,0.00
ZQFMGB12,0.00,0.00,0.00,3,0,-,C++,25,0,0,0,0,0,0,0,0,8776,2564,0.00
codetaku,0.00,0.00,0.00,1,0,2.7,Python,34,0,0,0,0,0,0,8,0,-,6296,0.00
xxabzcvbxacz,0.00,0.00,0.00,5,0,-,C++,38,0,0,0,0,0,58,0,0,9488,2316,0.00
p5ic05i5,0.00,0.00,0.00,5,0,-,C,37,0,0,0,0,0,0,0,0,7632,2404,0.00
sixTimes9Mod7,0.00,0.00,0.00,3,0,-,C++,33,0,0,0,0,0,0,0,0,10920,2624,0.00
simonlindholm,0.00,0.00,0.00,3,0,-,C++,31,0,0,0,0,0,0,0,0,15264,2468,0.00
xitology,0.00,0.00,0.00,9,0,-,C++,20,0,0,0,0,0,0,0,0,10536,2476,0.00
shubhamjha3003,0.00,0.00,0.00,0,0,-,C++,25,0,0,0,0,0,0,0,0,7304,2412,0.00
Orangerobber,0.00,0.00,0.00,6,0,2.7,Python,14,0,0,0,0,0,0,0,0,-,6376,0.00
cgy4ever,0.00,0.00,0.00,3,0,-,C++,40,0,0,0,0,0,0,0,0,13832,2500,0.00
Marshmallow,-,-,-,13,-,-,C#,35,-,1,-,-,-1,2,-,-,-,-,-
DrChuck,0.00,0.00,0.00,0,0,2.7,Python,10,0,0,0,0,0,0,0,0,-,6388,0.00
lebegio,0.00,0.04,0.00,8,0,-,java,81,0,0,0,0,1,6,64,0,-,21544,0.04
RobKing,0.00,0.02,0.00,7,0,2.7,Python,29,0,0,0,0,0,0,0,0,-,6384,0.02
smilechenxing,0.00,0.00,0.00,12,0,-,C++,83,0,0,0,0,0,3,0,0,10664,2616,0.00
mroschke,0.00,0.00,0.00,14,0,-,C,40,0,0,0,0,0,17,0,0,7424,2272,0.00
DumbLuck2,0.00,0.00,0.00,20,0,-,C++,62,0,0,0,0,0,3,0,0,11928,2380,0.00
cowseatbananas,0.00,0.00,0.00,4,0,-,C++,24,0,0,0,0,0,0,0,0,10856,2584,0.00
packwolf,0.00,0.00,0.00,1,0,2.7,Python,10,0,0,0,0,2,0,0,0,-,6108,0.00
XeR,0.00,0.00,0.00,10,0,-,C,36,0,0,0,0,0,0,0,0,7536,2356,0.00
drtnf,0.00,0.00,0.00,5,0,2.7,Python,13,0,0,0,0,0,0,0,0,-,6292,0.00
arihayes,0.00,0.04,0.00,4,0,-,java,52,0,1,0,0,1,0,64,0,-,21860,0.04
chemthan,0.00,0.00,0.00,3,0,-,C++,55,0,0,0,0,0,1,0,0,15728,2464,0.00
leocp1,0.00,0.00,0.00,3,0,-,C++,38,0,0,0,0,0,0,0,0,10360,2372,0.00
amylase,0.00,0.00,0.00,2,0,2.7,Python,7,0,0,0,0,0,10,0,0,-,6520,0.00
MWong,0.00,0.00,0.00,4,0,-,C++,42,0,0,0,0,0,0,0,0,7632,2280,0.00
OmSakthi,0.00,0.04,0.00,13,0,-,java,47,0,0,0,0,1,16,64,0,-,21340,0.04
HFiuza,0.00,0.00,0.00,8,0,-,C++,54,0,0,0,0,0,1,0,0,10544,2396,0.00
BaturaDima,-,-,-,13,-,-,C++,40,-,1,-,-,-1,171,-,-,-,-,-
Ardem,0.00,0.00,0.00,4,0,2.7,Python,14,0,0,0,0,2,5,0,0,-,6188,0.00
jzj,0.00,0.01,0.00,6,0,2.7,Python,27,0,0,0,0,0,0,0,0,-,6436,0.01
Junkbot,0.00,0.00,0.00,7,0,-,C++,26,0,0,0,0,0,0,0,0,9552,2752,0.00
addie9000,0.00,0.02,0.00,14,0,2.7,Python,26,0,0,0,0,0,0,0,0,-,6476,0.02
robostac,0.00,0.00,0.00,13,0,2.7,Python,28,0,0,0,0,2,0,0,0,-,6148,0.00
klaasn,0.00,0.00,0.00,8,0,-,C++,63,0,0,0,0,0,2,0,0,15088,2588,0.00
Ostap,0.00,0.00,0.00,5,0,-,C++,49,0,0,0,0,0,0,0,0,9704,2520,0.00
goalboy1015,0.00,0.10,0.00,8,0,-,java,39,0,0,0,0,0,0,64,0,-,29476,0.10
Kaznov,0.00,0.00,0.00,3,0,-,C++,26,0,0,0,0,0,0,0,0,11656,2624,0.00
danielf,0.00,0.00,0.00,0,0,3.5,Python,7,0,0,0,0,2,0,0,0,-,7200,0.00
Tinysun,0.00,0.00,0.00,16,0,-,C++,72,0,0,0,0,0,0,0,0,9944,2628,0.00
rajat1603,0.00,0.00,0.00,0,0,-,C++,47,0,0,0,0,0,0,0,0,13000,2584,0.00
davidv,0.00,0.00,0.00,10,0,-,C++,31,0,0,0,0,0,0,0,0,13120,2604,0.00
gkso,0.00,0.00,0.00,10,0,2.7,Python,11,0,0,0,0,0,0,0,0,-,6360,0.00
NiKS,0.00,0.00,0.00,5,0,-,C++,28,0,0,0,0,0,0,0,0,10576,2620,0.00
hobermallow,0.00,0.00,0.00,2,0,-,C,30,0,0,0,0,0,0,0,0,7376,2352,0.00
vmohit,0.00,0.00,0.00,5,0,-,C++,29,0,0,0,0,0,0,0,0,10608,2396,0.00
Fedux,0.00,0.00,0.00,2,0,2.7,Python,11,0,0,0,0,0,21,0,0,-,6388,0.00
mrthink,0.01,0.07,0.00,21,0,-,java,60,0,0,0,0,0,9,64,0,-,24764,0.07
bydooweedoo,0.00,0.00,0.00,20,0,3.5,Python,85,0,1,0,0,2,0,0,0,-,7228,0.00
aviaryan,0.00,0.00,0.00,9,0,-,C++,39,0,0,0,0,0,3,0,0,10776,2608,0.00
Nocklas,0.00,0.01,0.00,6,0,-,C#,32,0,0,0,0,0,0,0,0,-,14308,0.01
