user_id,blanks,comments,language,cloc,avg_memory,wall_clock,system_time,compiler_version,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
chiller,1,0,Python,10,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6736,0.00
chinghsuanwei,5,8,C++,29,0,0.03,0.01,-,0,0,0,0,0,1520,0,10048,2456,0.01
chinu76,2,0,C,23,0,0.00,0.00,-,0,0,0,0,127,0,0,7432,1440,0.00
chiselko6,8,3,C++,45,0,0.00,0.00,-,0,0,0,0,0,0,0,11336,2612,0.00
chmffwn1,1,2,C++,54,0,0.00,0.00,-,0,0,0,0,136,0,0,10272,2268,0.00
choniong,5,0,C++,16,0,0.00,0.00,-,0,0,0,0,0,0,0,8232,2520,0.00
chultquist,1,0,Java,18,0,0.07,0.00,-,0,0,0,0,0,64,0,-,24864,0.06
chunko,12,0,Java,34,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21328,0.04
chunqi,13,7,Java,75,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21404,0.03
clancer,16,12,Java,25,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21432,0.04
classxiaoli,18,0,Python,15,0,0.00,0.00,3.5,0,1,0,0,2,0,0,-,7224,0.00
clecl3oy,9,7,Java,30,0,0.04,0.00,-,0,0,0,0,0,64,0,-,21416,0.03
cleverzys,4,6,C++,67,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
cliberty,2,2,C++,27,0,0.00,0.00,-,0,0,0,0,0,0,0,7344,2256,0.00
clouilt,0,0,C++,15,0,0.00,0.00,-,0,0,0,0,0,0,0,10016,2504,0.00
cmonkey,3,0,C++,19,0,0.00,0.00,-,0,0,0,0,0,1328,0,8648,2520,0.00
cobiard,8,5,C#,58,0,0.01,0.00,-,0,0,0,0,0,0,0,-,14444,0.00
codemode,3,0,C++,31,0,0.00,0.00,-,0,0,0,0,0,0,0,11128,2384,0.00
codersrikant,7,0,Java,34,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21580,0.04
coderush,2,0,Python,15,0,0.00,0.00,2.7,0,0,0,0,2,0,0,-,6188,0.00
codeshubh,1,0,C++,23,0,0.00,0.00,-,0,0,0,0,0,0,0,9384,2716,0.00
coeus,0,0,Python,10,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6712,0.00
cookiemx,2,0,C++,27,0,0.00,0.00,-,0,0,0,0,0,0,0,9960,2620,0.00
coollllllllll,0,0,C++,21,0,0.00,0.00,-,0,0,0,0,0,0,0,7288,2404,0.00
coolwyj,2,0,C++,30,0,0.00,0.00,-,0,0,0,0,136,0,0,11056,2324,0.00
coolxd95,2,1,C++,26,0,0.00,0.00,-,0,0,0,0,0,0,0,10048,2576,0.00
coool,2,0,C++,20,0,0.03,0.02,-,0,0,0,0,0,1328,0,11160,2528,0.00
coquelicot,9,0,C++,41,0,0.00,0.00,-,0,0,0,0,0,0,0,9336,2284,0.00
cormoran,6,0,C++,35,0,0.00,0.00,-,0,0,0,0,0,0,0,8520,2736,0.00
corsaere,5,1,Python,12,0,0.00,0.00,2.7,0,0,0,0,2,0,0,-,6224,0.00
costander,3,0,C++,21,0,0.00,0.00,-,0,0,0,0,0,0,0,9912,2540,0.00
counterexample,0,0,C++,15,0,0.00,0.00,-,0,0,0,0,0,0,0,10024,2388,0.00
covganet,3,0,Java,24,0,0.04,0.00,-,0,0,0,0,0,72,0,-,21528,0.04
cpas,9,10,Python,20,0,0.00,0.00,2.7,0,0,0,0,2,0,0,-,6220,0.00
cpu4500,10,5,Python,24,0,0.00,0.00,2.7,0,0,0,0,0,8,0,-,6720,0.00
crainiarc,4,0,Python,10,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6456,0.00
creseti,13,3,C++,43,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
crlg90,2,0,Java,30,0,0.04,0.00,-,0,0,0,0,0,64,0,-,21488,0.04
cs1120him,2,0,C++,22,0,0.03,0.01,-,0,0,0,0,0,1328,0,11160,2500,0.02
csesuman,15,1,C++,70,0,0.00,0.00,-,0,0,0,0,0,0,0,11272,2608,0.00
cseteram,13,0,C++,27,0,0.00,0.00,-,0,0,0,0,0,0,0,17248,2504,0.00
cshao1235,5,0,Java,43,0,0.04,0.00,-,0,0,0,0,0,72,0,-,21496,0.04
cst1,8,0,Python,26,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6468,0.00
csurfer,2,0,Python,15,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6528,0.00
cswhjiang,16,5,Java,47,0,0.04,0.00,-,0,1,0,0,1,64,0,-,21584,0.04
culahaba,14,3,C++,34,0,0.00,0.00,-,0,0,0,0,0,0,0,8360,2752,0.00
cyberkami,5,5,Python,11,0,0.00,0.00,3.5,0,1,0,0,2,0,0,-,7212,0.00
cycycy,4,0,C++,22,0,0.00,0.00,-,0,0,0,0,0,0,0,9776,2612,0.00
cyodex,4,2,Java,20,0,0.08,0.00,-,0,0,0,0,0,72,0,-,29952,0.07
d4rkc0de,3,0,C++,21,0,0.00,0.00,-,0,0,0,0,0,0,0,11208,2612,0.00
dackerson,4,0,Java,20,0,0.08,0.00,-,0,0,0,0,0,64,0,-,24768,0.08
dai1741,5,0,Java,25,0,0.08,0.00,-,0,0,0,0,0,64,0,-,25112,0.08
daifei4321,2,7,Java,38,0,0.04,0.01,-,0,0,0,0,1,64,0,-,21404,0.02
daiota,12,6,C++,36,0,0.00,0.00,-,0,0,0,0,0,0,0,9992,2456,0.00
dalex,20,4,Java,151,0,0.05,0.00,-,0,0,0,0,1,64,0,-,21476,0.04
damaru,6,2,C++,22,0,0.00,0.00,-,0,0,0,0,0,0,0,9952,2480,0.00
damnecki,2,0,Java,25,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21900,0.04
damowang,0,0,C++,33,0,0.00,0.00,-,0,0,0,0,0,0,0,9864,2608,0.00
dancingsoul,4,0,C++,37,0,0.00,0.00,-,0,0,0,0,0,0,0,8944,2640,0.00
dans,13,0,C++,64,0,0.00,0.00,-,0,0,0,0,0,0,0,8888,2576,0.00
dari,2,0,C++,16,0,0.00,0.00,-,0,0,0,0,0,0,0,9912,2612,0.00
darkfury,9,0,C++,75,0,0.65,0.03,-,0,0,0,0,0,137168,0,10008,2328,0.62
darkstallion,2,1,C++,37,0,0.00,0.00,-,0,0,0,0,0,0,0,9344,2716,0.00
darthbobr,5,2,C++,36,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
darus,10,1,Python,10,0,0.00,0.00,3.5,0,1,0,0,2,0,0,-,7168,0.00
datathief,3,0,C++,21,0,0.00,0.00,-,0,0,0,0,0,0,0,9912,2508,0.00
daxlab,0,4,C++,40,0,0.00,0.00,-,0,0,0,0,0,0,0,10064,2496,0.00
dbakti7,0,0,C,18,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
deathlee,3,0,Java,23,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21448,0.03
deathstar,5,2,C++,37,0,0.00,0.00,-,0,0,0,0,0,0,0,11016,2700,0.00
deathsurgeon,8,4,C++,26,0,0.00,0.00,-,0,0,0,0,0,0,0,8024,2472,0.00
debugger,6,0,C#,36,0,0.00,0.00,-,0,0,0,0,2,0,0,-,12012,0.00
decltypeNULL,11,1,C++,40,0,0.00,0.00,-,0,0,0,0,0,0,0,10064,2480,0.00
deivid,15,0,C#,87,0,0.00,0.00,-,0,0,0,0,2,0,0,-,12020,0.00
delphifirst,3,0,C++,20,0,0.00,0.00,-,0,0,0,0,0,0,0,10080,2644,0.00
delps,29,0,C#,106,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
denisgr,-,-,C++,-,-,-,-,-,-,-15,-,-,-1,-,-,-,-,-
deniswerner,12,2,Python,22,0,0.00,0.00,2.7,0,0,0,0,2,0,0,-,6132,0.00
desmond123,5,0,C++,33,0,0.00,0.00,-,0,0,0,0,0,0,0,11104,2588,0.00
devoteemous,2,8,C++,27,0,0.00,0.00,-,0,0,0,0,0,0,0,12168,2484,0.00
deysaikat95,0,0,C++,22,0,0.00,0.00,-,0,-15,0,0,127,0,0,-,1376,0.00
dhoni,2,2,C++,69,0,0.00,0.00,-,0,0,0,0,0,0,0,26528,2484,0.00
di68,3,0,C#,28,0,0.01,0.00,-,0,0,0,0,1,0,0,-,13672,0.00
digawp,3,1,C++,28,0,0.00,0.00,-,0,0,0,0,0,0,0,7376,2372,0.00
dijizztra,8,3,C++,24,0,0.00,0.00,-,0,0,0,0,0,0,0,10128,2596,0.00
dilemma,0,0,C++,54,0,0.00,0.00,-,0,0,0,0,136,0,0,8760,2348,0.00
dime,5,1,C++,64,-,-,-,-,-,0,-,-,-15,-,-,10320,-,-
dimkadimon,7,0,Java,28,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21564,0.03
dinhks,1,0,C++,21,0,0.00,0.00,-,0,0,0,0,136,0,0,10056,2316,0.00
divanshu,14,6,C++,56,0,0.00,0.00,-,0,0,0,0,136,0,0,9936,2216,0.00
djibouss,5,0,Java,34,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21392,0.04
