user_id,avg_memory,wall_clock,system_time,blanks,avg_RAM,language,cloc,nbr_file_in,compiled,swap_main_memory,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compiler_version,compile_error_msg,run_error_msg,max_RAM,user_time
iridescent,0,0.13,0.00,4,0,C++,42,0,0,0,0,1,0,0,11752,-,-,-,2600,0.06
iseriohn,0,0.18,0.00,6,0,C++,61,0,0,0,0,0,0,0,17808,-,-,-,2740,0.10
ishikado,0,0.08,0.00,9,0,C++,47,0,0,0,0,2,0,0,11440,-,-,-,2404,0.04
ishraq,0,0.19,0.00,7,0,C++,41,0,0,0,0,0,0,0,22880,-,-,-,2764,0.18
it3,0,0.52,0.06,56,0,Java,384,0,0,0,0,93,96,0,9904,-,-,-,57036,0.55
ithlony,0,0.10,0.00,6,0,C++,52,0,0,0,0,2,0,0,9624,-,-,-,2728,0.05
itisalways42,0,0.12,0.00,3,0,C++,56,0,0,0,0,4,0,0,11264,-,-,-,2464,0.06
itzkow,-,-,-,39,-,C++,97,-,1,-,-1,8,-,-,-,-,Unknown error,-,-,-
ivancastel94,0,0.00,0.00,3,0,C++,58,0,0,0,0,1,0,0,11688,-,-,-,2452,0.00
ivanzjj,0,0.74,0.00,8,0,C++,55,0,0,0,0,2,0,0,9928,-,-,-,2984,0.52
ixxa,0,0.14,0.01,14,0,Java,119,0,0,0,0,4,80,0,2312,-,-,-,28380,0.13
jacklv,0,0.00,0.00,1,0,C++,39,0,0,0,0,4,0,0,9976,-,-,-,2468,0.00
jackyliuxx,0,0.15,0.00,4,0,C++,42,0,0,0,0,0,0,0,9832,-,-,-,2588,0.07
jackyyf,0,0.04,0.00,17,0,C++,101,0,0,0,0,0,0,0,11392,-,-,-,2408,0.04
jael860,-,-,-,19,-,C++,78,-,0,-,-15,0,-,-,21928,-,-,Timeout,-,-
jamaisvu,0,0.14,0.00,19,0,C++,78,0,0,0,0,3,0,0,10216,-,-,-,2624,0.07
jasbir,0,0.09,0.00,5,0,C++,55,0,0,0,0,7,0,0,20552,-,-,-,2272,0.04
jchen314,0,0.32,0.01,5,0,Java,56,0,0,0,0,0,72,0,1622,-,-,-,61780,0.39
jcpwfloi,0,6.25,0.00,8,0,C++,49,0,0,0,0,0,0,0,23416,-,-,-,2456,4.42
jcvb,0,0.00,0.00,8,0,C++,50,0,0,0,0,0,8,0,9840,-,-,-,2556,0.00
