user_id,blanks,language,comments,cloc,avg_memory,wall_clock,system_time,compiler_version,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
Gnurdux,6,C++,0,96,,,,,,,,,,,,,,,,
Griffon,28,java,0,123,0,0.10,0.01,-,0,0,0,0,1,64,0,3156,-, at java.lang.ClassLoader.defineClass1(Native Method)  at java.lang.ClassLoader.defineClass(ClassLoader.java:803)  at java.security.SecureClassLoader.defineClass(SecureClassLoader.java:142)  at java.net.URLClassLoader.defineClass(URLClassLoader.java:442)  at java.net.URLClassLoader.access$100(URLClassLoader.java:64)  at java.net.URLClassLoader$1.run(URLClassLoader.java:354)  at java.net.URLClassLoader$1.run(URLClassLoader.java:348)  at java.security.AccessController.doPrivileged(Native Method)  at java.net.URLClassLoader.findClass(URLClassLoader.java:347)  at java.lang.ClassLoader.loadClass(ClassLoader.java:425)  at sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:308)  at java.lang.ClassLoader.loadClass(ClassLoader.java:358)  at sun.launcher.LauncherHelper.checkAndLoadMain(LauncherHelper.java:482) Command exited with non-zero status 1,21704,0.03
Grzesiu,14,Python,0,49,,,,,,,,,,,,,,,,
Hooyoung,8,C++,0,101,,,,,,,,,,,,,,,,
Huziwara,3,C++,0,113,,,,,,,,,,,,,,,,
Hydraxis,52,C++,21,220,,,,,,,,,,,,,,,,
JohnSmith,37,C++,6,165,,,,,,,,,,,,,,,,
Jonasz,26,C++,5,212,,,,,,,,,,,,,,,,
KennyHORROR,7,C++,1,145,,,,,,,,,,,,,,,,
Kurenai,4,java,44,3,-,-,-,-,-,1,-,-,-1,-,-,-,"/home/useruser/datacollection/solutions_2458486_1/java/Kurenai/Treasure.java:35: error: cannot find symbol
    private static ArrayList<ChestOpener> getChests(String aFileName) throws FileNotFoundException, IOException {
                             ^
  symbol:   class ChestOpener
  location: class Treasure
/home/useruser/datacollection/solutions_2458486_1/java/Kurenai/Treasure.java:12: error: cannot find symbol
       ArrayList<ChestOpener> chests = getChests(""C:\\Users\\Patri\\Downloads\\D-large.in"");
                 ^
  symbol:   class ChestOpener
  location: class Treasure
/home/useruser/datacollection/solutions_2458486_1/java/Kurenai/Treasure.java:16: error: cannot find symbol
            ChestOpener chest = chests.get(0);
            ^
  symbol:   class ChestOpener
  location: class Treasure
/home/useruser/datacollection/solutions_2458486_1/java/Kurenai/Treasure.java:36: error: cannot find symbol
        ArrayList<ChestOpener> chestOpeners = new ArrayList<ChestOpener>();
                  ^
  symbol:   class ChestOpener
  location: class Treasure
/home/useruser/datacollection/solutions_2458486_1/java/Kurenai/Treasure.java:36: error: cannot find symbol
        ArrayList<ChestOpener> chestOpeners = new ArrayList<ChestOpener>();
                                                            ^
  symbol:   class ChestOpener
  location: class Treasure
/home/useruser/datacollection/solutions_2458486_1/java/Kurenai/Treasure.java:42: error: cannot find symbol
            ArrayList<Chest> chests = new ArrayList<Chest>();
                      ^
  symbol:   class Chest
  location: class Treasure
/home/useruser/datacollection/solutions_2458486_1/java/Kurenai/Treasure.java:42: error: cannot find symbol
            ArrayList<Chest> chests = new ArrayList<Chest>();
                                                    ^
  symbol:   class Chest
  location: class Treasure
/home/useruser/datacollection/solutions_2458486_1/java/Kurenai/Treasure.java:59: error: cannot find symbol
                chests.add(new Chest(chestArray[0], chestKeys));
                               ^
  symbol:   class Chest
  location: class Treasure
/home/useruser/datacollection/solutions_2458486_1/java/Kurenai/Treasure.java:62: error: cannot find symbol
            chestOpeners.add(new ChestOpener(chests, keys));
                                 ^
  symbol:   class ChestOpener
  location: class Treasure
9 errors
",,-,-
