user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
mbg1992,-,-,-,53,C++,-,48,-,0,-,-,-1,0,-,-,12544,-,-,-,-
mcamac,0,1.57,0.03,8,Python,2.7,41,8,0,0,0,0,1,0,0,1345,-,-,78712,1.53
mckkentmwk,0,0.00,0.00,6,C++,-,63,64,0,0,0,0,7,944,0,29232,-,-,2724,0.00
mcsharma1990,-,-,-,9,C++,-,91,-,0,-,-,-1,10,-,-,30008,-,-,-,-
megaserg,0,0.00,0.00,136,C++,-,80,24,0,0,0,0,0,0,0,11968,-,-,2604,0.00
meret,0,0.10,0.00,5,C++,-,73,24,0,0,0,0,0,0,0,11240,-,-,4992,0.10
meshanya,0,0.04,0.00,57,C++,-,52,24,0,0,0,0,2,0,0,9856,-,-,3676,0.03
mexmans,0,0.00,0.00,75,C++,-,75,24,0,0,0,0,0,0,0,10152,-,-,2584,0.00
mfv,0,0.27,0.00,9,Java,-,75,0,0,0,0,0,1,72,0,1996,-,-,52164,0.26
mfy0120,0,0.00,0.00,46,C++,-,36,32,0,0,0,0,1,0,0,12368,-,-,2484,0.00
mherzberg,-,-,-,8,C++,-,39,-,0,-,-,-1,0,-,-,11120,-,-,-,-
mhozza,0,1.32,0.06,17,Python,2.7,63,8,0,0,0,0,14,0,0,2762,-,-,167944,1.24
mi6091,-,-,-,7,C++,-,41,-,0,-,-,-1,2,-,-,9736,-,-,-,-
michu,-,-,-,0,C++,-,34,-,0,-,-,-1,0,-,-,10944,-,-,-,-
micx0124,-,-,-,52,C++,-,42,-,1,-,-,-1,2,-,-,-,not declared,-,-,-
mightyvoice,0,0.00,0.00,154,C++,-,135,24,0,0,0,0,3,0,0,12096,-,-,2464,0.00
mihirthegenius,0,0.49,0.00,3,Python,2.7,29,8,0,0,0,0,2,0,0,977,-,-,39772,0.48
mikimi,0,2.39,0.03,8,Python,2.7,54,8,0,0,0,0,8,0,0,1592,-,-,71912,2.36
milenchechev,0,0.31,0.02,7,Java,-,40,0,0,0,0,0,7,80,0,1522,-,-,60044,0.32
milhaus,0,0.34,0.04,5,Java,-,69,0,0,0,0,0,15,72,0,2633,-,-,97152,0.31
mincomp,-,-,-,68,C++,-,51,-,1,-,-,-1,0,-,-,-,No such file or directory,-,-,-
mingcl,0,0.04,0.00,8,C++,-,37,16,0,0,0,0,1,0,0,7672,-,-,3344,0.03
minsung,-,-,-,41,C++,-,38,-,0,-,-,-1,0,-,-,9520,-,-,-,-
mischievousMe,0,0.14,0.00,61,C++,-,49,24,0,0,0,0,4,0,0,10808,-,-,3388,0.13
mishun,0,0.65,0.04,81,C++,-,55,24,0,0,0,0,0,137168,0,10224,-,-,2444,0.60
mitaki28,-,-,-,8,C++,-,62,-,0,-,-,-1,0,-,-,10368,-,-,-,-
mitsaras,0,0.04,0.00,8,C++,-,53,24,0,0,0,0,0,0,0,9416,-,-,3248,0.03
mitslll,-,-,-,62,C++,-,48,-,0,-,-,-1,0,-,-,27280,-,-,-,-
mittons,0,1.52,0.01,6,Python,2.7,27,8,0,0,0,0,0,0,0,915,-,-,16300,1.48
mkagenius,0,0.00,0.00,46,C++,-,38,24,0,0,0,0,0,0,0,11320,-,-,2504,0.00
