user_id,blanks,language,compiler_version,cloc,compiled,comments
Wynd07,-,-,1,-,java,-,46,-,0,-,-,0,1,-,-,-,-
Stun,34,C++,-,178,127,18
Boltmeyer,0.01,13,36,0,C#,-,298,0,0,0,0,0,36,0,0,32920,13
Stashio,19,C++,-,167,127,2
BetaNona,0.00,0.02,11,0,Python,2.7,55,0,0,0,0,0,6,0,0,6712,0.02
Sethera,-,-,36,-,java,-,152,-,0,-,-,0,5,-,-,-,-
jyhuang,11,C++,-,74,127,1
Harrywy,-,-,12,-,java,-,125,-,1,-,-,1,0,-,-,-,-
pawko,0.00,0.00,9,0,Python,2.7,64,0,2,0,0,2,3,0,0,6172,0.00
nickie,8,C++,-,79,127,3
CyberZHG,5,C++,-,120,127,2
emppu,16,C++,-,143,127,4
Grzesiu,11,C++,-,89,127,6
bcurcio,21,C++,-,80,127,1
mlingcod,19,C++,-,104,127,2
tatsy,-,-,11,-,java,-,58,-,0,-,-,0,0,-,-,-,-
failedzys,0,C++,-,71,127,0
Ljq,29,C++,-,81,127,0
updog,28,C++,-,141,127,6
Redbug,-,-,72,-,java,-,349,-,124,-,-,124,4,-,-,-,-
Riddle,9,C++,-,76,127,1
blmarket,22,C++,-,129,127,0
DaniJVaz,30,C++,-,129,127,23
ondivate,-,-,3,-,java,-,68,-,0,-,-,0,11,-,-,-,-
kfoszcz,18,C++,-,113,127,15
GeKa,22,C++,-,145,127,0
cdgr,-,-,15,-,C#,-,80,-,-1,-,-,-1,0,-,-,-,-
jasy,4,C++,-,66,127,0
DMinus,18,C++,-,98,127,38
userresu,3,C++,-,51,127,0
imyoyo,-,-,210,-,java,-,1159,-,1,-,-,1,28,-,-,-,-
kenimo,0.00,12,4,0,Python,2.7,97,0,0,0,0,0,15,0,0,8568,12
Milanin,0,C++,-,40,127,0
Butterfly0923,16,C++,-,117,127,0
ZILIANG,0.00,1.75,86,0,Python,2.7,413,0,0,0,0,0,32,0,0,7388,1.75
SquatmanJr,-,-,28,-,java,-,108,-,0,-,-,0,10,-,-,-,-
zxytim,5,C++,-,88,127,0
TripleM,5,C++,-,149,127,39
kmod,-,-,26,-,Python,2.7,113,-,124,-,-,124,17,-,-,-,-
jsannemo,-,-,12,-,java,-,106,-,0,-,-,0,7,-,-,-,-
gepa,0.00,6.96,13,0,Python,2.7,111,0,0,0,0,0,0,0,0,35292,6.96
saintdavid,0.00,0.00,2,0,C#,-,6,0,2,0,0,2,38,0,0,12108,0.00
Cronos,-,-,30,-,java,-,100,-,1,-,-,1,17,-,-,-,-
srkib0y,39,C++,-,359,127,4
jth,0.00,0.00,27,0,C#,-,186,0,2,0,0,2,5,0,0,11928,0.00
snowingsea,4,C++,-,82,127,1
thimk,-,-,25,-,java,-,113,-,0,-,-,0,3,-,-,-,-
evandrix,0.00,0.00,15,0,Python,2.7,134,0,2,0,0,2,34,0,0,6120,0.00
FFFFF,4,java,-,166,1,0
biegaoxiao,14,C++,-,123,127,78
freegyp,0,C++,-,89,127,0
xs0,-,-,23,-,java,-,119,-,0,-,-,0,1,-,-,-,-
harryyang,7,C++,-,176,127,0
daggerbox,30,java,-,220,1,13
pinpin,6,C++,-,71,127,3
BasicSkills,-,-,22,-,java,-,160,-,0,-,-,0,0,-,-,-,-
Borisp,8,C++,-,189,127,1
liymouse,3,C++,-,76,127,1
InTrance,0.00,0.01,38,0,C#,-,329,0,1,0,0,1,12,0,0,12828,0.00
macmak,0.00,0.04,5,0,Python,2.7,57,0,0,0,0,0,4,0,0,8100,0.03
terrakot,0.00,0.01,58,0,C#,-,306,0,2,0,0,2,5,0,0,12152,0.00
ir5,11,C++,-,69,127,2
dshabes,0.00,0.06,6,0,C#,-,94,0,0,0,0,0,1,0,0,14688,0.05
Pompon,12,C++,-,80,127,5
rettunlw,8,C++,-,62,127,0
eMBe,0.00,0.65,23,0,Python,2.7,106,0,0,0,0,0,1,0,0,8660,0.65
sdya,18,C++,-,103,127,0
alva0930,-,-,56,-,java,-,479,-,0,-,-,0,1,-,-,-,-
stopit99,0.00,0.00,55,0,C#,-,192,0,2,0,0,2,24,0,0,12112,0.00
TrevorDasch,0.00,0.73,146,0,C#,-,419,0,0,0,0,0,127,0,0,21036,0.73
bigOnion,-,-,58,-,Python,2.7,144,-,1,-,-,1,15,-,-,-,-
kjytay,0.00,0.00,11,0,Python,2.7,62,0,2,0,0,2,4,0,0,6212,0.00
harshalbid271,-,-,2,-,java,-,85,-,1,-,-,1,49,-,-,-,-
Tilps,-,-,20,-,C#,System.Numerics,322,-,-1,-,-,-1,13,-,-,-,-
achugh,54,C++,-,515,127,63
ChrisJ,-,-,39,-,java,-,145,-,1,-,-,1,2,-,-,-,-
Fantoccini,0.00,0.00,4,0,Python,2.7,88,0,2,0,0,2,8,0,0,6180,0.00
Aliaksei,10,C++,-,69,127,0
BradPreston,0.00,0.00,61,0,C#,-,239,0,2,0,0,2,2,0,0,12116,0.00
winlll,2,C++,-,69,127,0
gawry,1,C++,-,100,127,1
RobinB,0.00,0.00,6,0,Python,2.7,55,0,2,0,0,2,12,0,0,6232,0.00
binzume,7,C++,-,50,127,4
eldering,25,C++,-,145,127,4
vuthi,-,-,33,-,java,-,134,-,0,-,-,0,6,-,-,-,-
zibada,0.00,0.18,3,0,Python,2.7,33,0,0,0,0,0,0,0,0,8652,0.18
zaskar,16,C++,-,161,127,5
laser,10,C++,-,36,127,0
morriship,38,C++,-,227,127,0
elhipercubo,9,C++,-,73,127,1
wabe,15,C++,-,155,127,0
EmK,9,C++,-,82,127,3
graygrass,0.00,0.00,25,0,Python,2.7,116,0,2,0,0,2,47,0,0,6172,0.00
Polaris,0.00,0.00,9,0,Python,2.7,75,0,0,0,0,0,0,0,0,6716,0.00
imakaramegane,0.00,5.45,8,0,Python,2.7,48,0,0,0,0,0,0,0,0,7288,5.45
mystic,-,-,22,-,java,-,119,-,1,-,-,1,7,-,-,-,-
antoninb,-,-,21,-,java,-,70,-,1,-,-,1,15,-,-,-,-
tribody,2,C++,-,50,127,7
GGed,6,C++,-,58,127,0
refacto,76,C++,-,263,127,2
37ae912,21,C++,-,71,127,10
htamas,2,C,-,105,127,9
kawatea,112,C,-,294,127,0
jilljenn,0.00,3.95,3,0,Python,3.5,71,0,0,0,0,0,3,0,0,10968,3.94
tomconerly,-,-,1,-,java,-,16,-,0,-,-,0,0,-,-,-,-
NemBen,37,C++,-,137,127,0
ljh38,13,C++,-,64,127,9
Caoqinxiang,20,C++,-,148,127,5
firmsnail,1,C++,-,47,127,0
HuZhongXian,19,C++,-,192,127,9
seemmeriast,15,C++,-,114,127,20
l10veu,18,C++,-,92,127,4
kik,12,C++,-,127,127,4
thocevar,2,C++,-,47,127,0
PaddyWanBE,17,C++,-,239,127,9
pa1,0.00,0.03,14,0,Python,2.7,122,0,0,0,0,0,2,0,0,7212,0.03
Devine38,-,-,16,-,java,-,117,-,1,-,-,1,10,-,-,-,-
Goblin911,1,C++,-,165,127,0
Taizo,102,C++,-,504,127,59
caethan,0.00,0.01,42,0,Python,3.5,172,0,2,0,0,2,43,0,0,7272,0.00
pivizz,14,C++,-,281,127,8
bureksir,0.00,0.00,38,0,C#,-,160,0,2,0,0,2,0,0,0,12036,0.00
NightFalken,0.00,0.00,34,0,C#,-,312,0,2,0,0,2,9,0,0,12056,0.00
ComputerDruid,16,C,-,237,127,10
kurnevsky,8,C++,-,145,127,0
JohnSmith,28,C++,-,124,127,14
qnighy,4,C++,-,126,127,2
MarkLodato,0.00,0.02,14,0,Python,3.5,99,0,2,0,0,2,1,0,0,11084,0.02
Smylic,18,C++,-,53,127,0
Marina,5,C++,-,53,127,0
alexliver,4,java,-,30,0,35
tonyk,0.00,0.00,20,0,Python,2.7,116,0,2,0,0,2,2,0,0,6140,0.00
liux0229,20,C++,-,118,127,4
felixh,29,C++,-,227,127,23
nexen,27,C++,-,250,127,13
igerasim,6,C++,-,88,127,0
chys,33,C++,-,208,127,5
UranusX,7,C++,-,70,127,1
tmt514,6,C++,-,74,127,6
178855371157,35,C++,-,187,127,2
eatmore,-,-,13,-,java,-,156,-,0,-,-,0,15,-,-,-,-
losu,-,-,37,-,C#,System.Numerics,176,-,-1,-,-,-1,3,-,-,-,-
ZaN,7,C++,-,84,127,0
Hooyoung,0.00,0.01,3,0,Python,3.5,11,0,2,0,0,2,0,0,0,7216,0.00
Kristofer,-,-,17,-,java,-,183,-,1,-,-,1,2,-,-,-,-
mhw,38,C,-,207,127,34
kohei0418,26,C++,-,143,127,18
zli,0.00,0.04,5,0,Python,2.7,59,0,0,0,0,0,2,0,0,7860,0.04
Cjf,14,C++,-,78,127,2
nitsas,0.00,0.00,2,0,Python,2.7,32,0,1,0,0,1,48,0,0,6712,0.00
zheng,7,C++,-,94,127,3
kosvik,20,C++,-,85,127,1
mercurrent,16,C++,-,74,127,10
nshepperd,0.00,0.00,30,0,Python,2.7,160,0,2,0,0,2,58,0,0,6072,0.00
bg95,2,C++,-,236,127,10
hannanaha,0.00,0.00,17,0,Python,2.7,96,0,2,0,0,2,3,0,0,6132,0.00
vexorian,34,C++,-,181,127,54
Sheimi,0.00,1.41,16,0,Python,2.7,94,0,0,0,0,0,1,0,0,8580,1.41
Morad2145,-,-,14,-,java,-,79,-,1,-,-,1,2,-,-,-,-
vedg,21,C++,-,130,127,1
aussie,0.00,0.76,29,0,C#,-,215,0,0,0,0,0,5,0,0,24168,0.76
