user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
MauricioC,0,0.01,0.00,7,C++,-,26,0,0,0,0,0,0,0,0,10072,2620,0.01
MaximKalinin,0,0.00,0.00,6,C++,-,51,0,0,0,0,0,1,0,0,17960,2508,0.00
McNelly,0,0.00,0.00,17,Python,2.7,59,0,0,0,0,2,1,0,0,-,6200,0.00
Mcginn,0,0.00,0.00,1,C++,-,32,0,0,0,0,0,0,0,0,8808,2644,0.00
MeandMyself,0,0.00,0.00,4,C++,-,44,0,0,0,0,0,2,0,0,17840,2648,0.00
Meltykiss,0,0.00,0.00,3,Python,2.7,24,0,0,0,0,2,0,0,0,-,6164,0.00
MeoooW25,0,0.38,0.01,5,Java,-,43,0,0,0,0,0,5,72,0,-,63712,0.40
Merlinhool,0,0.00,0.00,0,C++,-,30,0,0,0,0,0,1,8,0,11056,2704,0.00
MiSawa,0,0.00,0.00,2,C++,-,58,0,0,0,0,0,2,0,0,22056,2624,0.00
MichaelLevin,0,0.00,0.00,4,C++,-,68,0,0,0,0,0,0,8,0,17656,2460,0.00
Mickey1356,0,0.00,0.00,3,Python,2.7,18,0,0,0,0,2,5,0,0,-,6216,0.00
MilesAway,0,0.04,0.00,4,Java,-,62,0,0,0,0,1,0,64,0,-,21352,0.04
MilesEdgeworth,-,-,-,5,C++,-,36,-,0,-,-,-15,0,-,-,9960,-,-
Milesian,0,0.00,0.00,0,C++,-,36,0,0,0,0,0,0,0,0,8776,2612,0.00
MiminoCoder,0,0.00,0.00,8,C++,-,55,0,0,0,0,0,1,0,0,10232,2632,0.00
MinWoo,0,0.01,0.00,6,C++,-,34,0,0,0,0,0,0,0,0,15616,2724,0.00
Mingye,0,0.03,0.00,4,Python,2.7,26,0,0,0,0,0,0,0,0,-,6396,0.02
Minicat,0,0.00,0.00,10,Python,2.7,24,0,0,0,0,2,11,0,0,-,6100,0.00
Minilek,0,0.01,0.00,1,C++,-,35,0,0,0,0,0,0,0,0,20736,2600,0.01
Mining,0,0.01,0.00,2,C++,-,35,0,0,0,0,0,0,0,0,17464,2516,0.00
Mirclus,0,0.00,0.00,15,C++,-,84,0,0,0,0,1,0,0,0,20784,2480,0.00
MiroB,0,0.01,0.00,2,C++,-,34,0,0,0,0,0,0,0,0,17800,2488,0.00
Mister,0,0.00,0.00,1,C++,-,23,0,0,0,0,0,1,0,0,9800,2636,0.00
Monads,0,0.00,0.00,5,C++,-,26,0,0,0,0,0,0,0,0,10048,2524,0.00
MooseBoys,-,-,-,30,C++,-,112,-,1,-,-,-1,43,-,-,-,-,-
Morris,0,4.22,2.99,8,C++,-,32,0,0,0,0,0,2,153632,0,11136,2444,1.22
MozillaFirefox,0,0.00,0.00,15,C++,-,62,0,0,0,0,0,0,0,0,10088,2388,0.00
Mperv,0,0.03,0.00,2,C#,-,38,0,0,0,0,0,1,0,0,-,19804,0.02
MrDave,0,0.00,0.00,12,Python,2.7,33,0,0,0,0,2,2,0,0,-,6176,0.00
MrPingouin,0,0.00,0.00,4,C++,-,32,0,0,0,0,0,0,0,0,10400,2512,0.00
Mudream,0,0.00,0.00,9,C++,-,25,0,0,0,0,0,2,0,0,7664,2412,0.00
Multifarious,0,0.01,0.00,7,C++,-,59,0,0,0,0,0,0,0,0,23256,2552,0.00
Munin,0,0.00,0.00,16,Python,2.7,39,0,0,0,0,2,9,0,0,-,6204,0.00
Murat,0,0.00,0.00,5,C++,-,34,0,0,0,0,0,0,0,0,16792,2752,0.00
Murphy,0,0.01,0.00,1,C++,-,36,0,0,0,0,0,3,0,0,15736,2612,0.00
NAFIS,0,0.00,0.00,11,C++,-,50,0,0,0,0,134,16,0,0,11752,2532,0.00
NALP,0,0.00,0.00,26,C++,-,110,0,0,0,0,0,2,0,0,15736,2764,0.00
NExPlain,0,0.00,0.00,4,C++,-,68,0,0,0,0,0,0,0,0,9944,2444,0.00
NPeasy,0,0.00,0.00,4,C++,-,40,0,0,0,0,0,0,0,0,11080,2624,0.00
Naduxa,0,4.72,3.00,5,C++,-,39,0,0,0,0,0,0,153688,0,17520,2632,1.72
Namnamseo,0,0.54,0.03,3,C++,-,29,0,0,0,0,0,0,153536,0,8120,2344,0.50
Nasa,0,0.01,0.00,2,C++,-,18,0,0,0,0,0,0,0,0,10104,2628,0.00
Navid,0,0.01,0.00,1,C++,-,37,0,0,0,0,0,0,0,0,21320,2488,0.00
NegiMagnet,0,0.01,0.00,2,C++,-,32,0,0,0,0,0,0,0,0,17328,2512,0.00
Nekomimimi,0,0.01,0.00,5,C++,-,34,0,0,0,0,0,0,0,0,10000,2480,0.00
Nestman,0,0.07,0.00,12,Java,-,32,0,0,0,0,1,2,64,0,-,21520,0.06
Neverauskas,0,0.00,0.00,8,C#,-,89,0,0,0,0,2,0,0,0,-,12108,0.00
Nib,0,0.00,0.00,1,C++,-,33,0,0,0,0,0,0,0,0,8528,2580,0.00
Nicccccccccck,0,0.00,0.00,0,C++,-,35,0,0,0,0,0,1,0,0,9408,2060,0.00
NickApo,0,0.00,0.00,10,C,-,43,0,0,0,0,139,0,0,0,7912,1988,0.00
NickBowman,0,0.04,0.00,20,Java,-,64,0,0,0,0,1,2,64,0,-,21796,0.03
Nicolas16,0,0.00,0.00,11,C++,-,45,0,0,0,0,0,0,0,0,8960,2640,0.00
NikolayKochetov,0,0.00,0.00,4,C++,-,32,0,0,0,0,0,0,0,0,19392,2652,0.00
NilayVaish,0,0.00,0.00,4,C++,-,35,0,0,0,0,0,1,0,0,19672,2452,0.00
Nooodles,0,0.03,0.00,7,Python,2.7,20,0,0,0,0,0,3,0,0,-,6520,0.02
Nothing2Panic,0,0.00,0.00,15,Python,2.7,50,0,0,0,0,2,3,0,0,-,6104,0.00
Novemura,0,0.00,0.00,2,Python,2.7,31,0,0,0,0,0,3,0,0,-,6352,0.00
Nullard,0,0.02,0.00,6,Python,2.7,63,0,0,0,0,0,3,8,0,-,6408,0.02
OYoung,0,0.64,0.03,2,C++,-,29,0,0,0,0,0,0,153592,0,9976,2608,0.61
OcoToOo,0,0.00,0.00,8,C++,-,64,0,0,0,0,0,0,8,0,17952,2620,0.00
Oil,-,-,-,2,Java,-,6,-,1,-,-,1,16,-,-,-,-,-
OmaaarZ,0,0.00,0.00,5,C++,-,61,0,0,0,0,134,0,0,0,10528,2680,0.00
Omar22,0,0.00,0.00,16,C++,-,23,0,0,0,0,0,0,0,0,10256,2588,0.00
OmarHashim,0,0.00,0.00,8,C++,-,76,0,0,0,0,0,0,0,0,10000,2452,0.00
OmniLRenegadE,0,0.01,0.00,17,C++,-,74,0,0,0,0,0,0,0,0,10168,2664,0.01
Omrigan,0,0.04,0.00,22,Java,-,131,0,0,0,0,1,1,64,0,-,21496,0.03
OneTouchFinish,0,0.00,0.00,0,C++,-,49,0,0,0,0,0,1,0,0,10800,2584,0.00
OptimusNishant,0,0.00,0.00,0,C++,-,29,0,0,0,0,0,0,0,0,10976,2472,0.00
OsamaF,0,0.00,0.00,6,C++,-,26,0,1,0,0,127,0,0,0,-,1344,0.00
Ostap,0,0.00,0.00,8,C++,-,57,0,0,0,0,0,1,0,0,8760,2700,0.00
Oyk,0,0.00,0.00,5,C++,-,39,0,0,0,0,0,0,0,0,10064,2596,0.00
P0rrut,0,0.00,0.00,5,C++,-,36,0,0,0,0,0,0,0,0,11296,2580,0.00
PAP,0,0.01,0.00,3,C++,-,29,0,0,0,0,0,0,0,0,10128,2484,0.00
PASTor,0,0.03,0.00,16,Python,2.7,26,0,0,0,0,0,1,0,0,-,8268,0.02
PCZ,0,0.00,0.00,4,C++,-,40,0,0,0,0,0,0,0,0,8920,2596,0.00
PERNEKHAN,0,0.01,0.00,18,C++,-,71,0,0,0,0,0,0,0,0,10312,2568,0.00
