user_id,syatem_time,wall_clock,system_time,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
macmak,0.00,0.00,0.00,1,0,Python,3.5,13,0,1,0,0,2,0,0,0,-,7224,0.00
RedJay,0.00,0.01,0.00,5,0,Python,3.5,29,0,1,0,0,2,1,0,0,-,7220,0.00
himanshujaju,0.00,-,-,5,-,C++,-,47,-,127,-,-,-1,0,-,-,-,-,-
shenjiaqi,0.00,-,-,2,-,C++,-,34,-,127,-,-,-1,0,-,-,-,-,-
hhhhhhhhhhhhhhhhhhhhhh,0.05,-,-,1,-,C++,-,33,-,127,-,-,-1,0,-,-,-,-,-
Kelsier718,0.00,0.02,0.00,0,0,Python,2.7,14,0,0,0,0,0,0,0,0,-,6368,0.00
izrak,0.00,-,-,7,-,C++,-,30,-,127,-,-,-1,0,-,-,-,-,-
hayk,0.00,0.04,0.00,5,0,Python,2.7,21,0,0,0,0,0,0,8,0,-,21404,0.05
olpetOdessaONU,0.00,-,-,6,-,C++,-,41,-,127,-,-,-1,12,-,-,-,-,-
HDevillez,0.00,-,-,28,-,C++,-,59,-,127,-,-,-1,0,-,-,-,-,-
ChrisViking,0.00,0.01,0.00,9,0,Python,2.7,22,0,0,0,0,0,2,8,0,-,6404,0.00
biran0079,0.00,0.00,0.00,0,0,Python,2.7,13,0,0,0,0,0,0,0,0,-,6524,0.00
miero,0.00,-,-,2,-,C,-,37,-,127,-,-,-1,0,-,-,-,-,-
kefaa,-,-,-,9,-,C++,-,79,-,127,-,-,-1,0,-,-,-,-,-
PetrosN,0.00,-,-,9,-,C,-,44,-,127,-,-,-1,0,-,-,-,-,-
lbj,-,-,-,3,-,C,-,40,-,127,-,-,-1,0,-,-,-,-,-
rokulo,0.00,0.01,0.00,9,0,Python,2.7,20,0,0,0,0,0,1,0,0,-,6752,0.00
jxs,0.00,0.01,0.00,4,0,Python,2.7,15,0,0,0,0,0,1,0,0,-,6576,0.01
mcprobie7,0.00,-,-,3,-,C++,-,33,-,127,-,-,-1,0,-,-,-,-,-
Zrfan,-,-,-,1,-,C++,-,74,-,127,-,-,-1,0,-,-,-,-,-
aa2985759,0.03,-,-,1,-,C++,-,40,-,127,-,-,-1,0,-,-,-,-,-
orenash,-,-,-,15,-,java,-,29,-,1,-,-,-1,5,-,-,-,-,-
liouzhou101,0.00,-,-,2,-,C++,-,37,-,127,-,-,-1,0,-,-,-,-,-
henviso,0.00,-,-,4,-,C++,-,78,-,127,-,-,-1,7,-,-,-,-,-
VaLaci,0.04,-,-,6,-,C++,-,37,-,127,-,-,-1,1,-,-,-,-,-
samsam2310,0.00,-,-,0,-,C++,-,27,-,127,-,-,-1,0,-,-,-,-,-
yplusplus,0.00,-,-,5,-,C++,-,36,-,127,-,-,-1,0,-,-,-,-,-
Matui,0.00,-,-,1,-,C++,-,42,-,127,-,-,-1,0,-,-,-,-,-
Bano,0.00,0.01,0.00,0,0,Python,2.7,20,0,0,0,0,0,0,0,0,-,6656,0.00
npip99,0.00,0.04,0.00,4,0,java,-,41,0,0,0,0,1,0,64,0,-,21444,0.03
denominator,0.00,0.01,0.00,8,0,Python,2.7,23,0,0,0,0,0,1,0,0,-,6280,0.00
rlanday,0.00,-,-,7,-,C++,-,30,-,127,-,-,-1,0,-,-,-,-,-
Brryce,0.00,0.01,0.00,3,0,Python,2.7,16,0,0,0,0,0,1,0,0,-,6296,0.00
qwertyk,0.00,-,-,8,-,C++,-,61,-,127,-,-,-1,1,-,-,-,-,-
koratel,0.00,-,-,4,-,C++,-,62,-,127,-,-,-1,0,-,-,-,-,-
bambit,0.00,0.01,0.00,10,0,Python,2.7,21,0,0,0,0,0,3,0,0,-,6496,0.00
NabiNaga,0.00,0.00,0.00,4,0,Python,2.7,24,0,0,0,0,2,0,0,0,-,6108,0.00
miguelb,0.00,-,-,162,-,C#,-,1798,-,1,-,-,-1,6,-,-,-,-,-
idealistos,-,-,-,9,-,java,-,48,-,1,-,-,-1,3,-,-,-,-,-
majk,0.00,0.00,0.00,3,0,Python,2.7,18,0,0,0,0,0,0,0,0,-,6532,0.00
bloboby,0.00,-,-,6,-,C++,-,31,-,127,-,-,-1,0,-,-,-,-,-
Microsheep,0.00,-,-,1,-,C++,-,33,-,127,-,-,-1,0,-,-,-,-,-
sandun,0.01,0.04,0.00,13,0,java,-,66,0,0,0,0,1,0,64,0,-,21388,0.03
Alexander86,0.00,-,-,7,-,C++,-,59,-,127,-,-,-1,0,-,-,-,-,-
Lewin,0.00,0.04,0.00,10,0,java,-,70,0,0,0,0,1,0,64,0,-,21492,0.04
skycl0wn,0.00,-,-,11,-,C#,-,43,-,1,-,-,-1,0,-,-,-,-,-
zxybazh,0.00,0.05,0.00,1,0,Python,2.7,20,0,0,0,0,0,0,0,0,-,6344,0.05
Itu,0.00,-,-,5,-,C++,-,58,-,127,-,-,-1,1,-,-,-,-,-
Htedsv,-,-,-,0,-,C++,-,37,-,127,-,-,-1,2,-,-,-,-,-
jinzhao,0.00,-,-,4,-,C++,-,30,-,127,-,-,-1,0,-,-,-,-,-
mosa1991,0.00,-,-,4,-,C++,-,45,-,127,-,-,-1,0,-,-,-,-,-
pexeer,0.00,-,-,7,-,C++,-,63,-,127,-,-,-1,2,-,-,-,-,-
Ong,0.00,0.04,0.00,4,0,java,-,51,0,0,0,0,1,0,64,0,-,21408,0.04
PengLong,0.00,-,-,3,-,C++,-,38,-,127,-,-,-1,0,-,-,-,-,-
LinesPrower,0.00,0.00,0.00,8,0,Python,3.5,47,0,1,0,0,2,2,0,0,-,7240,0.00
shubo,0.00,0.01,0.00,6,0,Python,2.7,31,0,0,0,0,1,1,0,0,-,6404,0.00
mskyt,0.00,0.01,0.00,3,0,Python,2.7,25,0,0,0,0,0,1,0,0,-,6376,0.00
rutsky,0.00,0.00,0.00,14,0,Python,2.7,38,0,0,0,0,0,0,0,0,-,6960,0.00
LiuHuang,0.00,-,-,1,-,C++,-,33,-,127,-,-,-1,5,-,-,-,-,-
theme,0.00,-,-,7,-,C++,-,43,-,127,-,-,-1,0,-,-,-,-,-
Mordecai,0.00,0.01,0.00,3,0,Python,2.7,17,0,0,0,0,0,1,0,0,-,6696,0.00
Nika86,0.00,0.00,0.00,9,0,Python,2.7,22,0,0,0,0,0,1,0,0,-,6556,0.00
benfei,0.00,0.02,0.00,5,0,Python,2.7,22,0,0,0,0,0,0,0,0,-,6552,0.02
duyboy135,0.00,-,-,1,-,C++,-,35,-,127,-,-,-1,0,-,-,-,-,-
aaaaajack,0.00,-,-,0,-,C++,-,23,-,127,-,-,-1,0,-,-,-,-,-
waltz,0.04,-,-,4,-,C++,-,32,-,127,-,-,-1,0,-,-,-,-,-
ranaldmiao,0.00,-,-,0,-,C++,-,29,-,127,-,-,-1,0,-,-,-,-,-
