user_id,syatem_time,wall_clock,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,max_RAM,user_time
optimal,0.00,0.00,4,0,C++,-,73,0,0,0,0,0,2,0,0,2612,0.00
JulianNeeleman,0.00,0.00,5,0,C++,-,39,0,0,0,0,0,0,0,0,2504,0.00
SYury,0.00,0.00,5,0,C++,-,75,0,0,0,0,0,0,0,0,2676,0.00
Maverick10,-,-,6,-,C++,-,45,-,-1,-,-,-1,8,-,-,-,-
bas,0.00,0.00,3,0,C++,-,39,0,0,0,0,0,0,0,0,2600,0.00
lraszkiewicz,0.00,0.01,1,0,Python,3.5,33,0,2,0,0,2,0,0,0,7176,0.00
huchun,0.00,0.00,2,0,C++,-,55,0,0,0,0,0,0,8,0,2712,0.00
kalpjain,0.00,0.00,1,0,C++,-,44,0,139,0,0,139,0,0,0,2248,0.00
AlSaeed,0.00,0.00,7,0,C++,-,74,0,0,0,0,0,0,0,0,2336,0.00
anleb,0.00,0.00,17,0,C++,-,80,0,0,0,0,0,1,8,0,2624,0.00
iskierka,0.00,0.06,16,0,java,-,61,0,1,0,0,1,1,64,0,21732,0.06
Morph0,0.00,0.01,5,0,Python,3.5,33,0,2,0,0,2,0,0,0,7232,0.01
preetsaimutneja,0.00,0.00,4,0,C++,-,70,0,0,0,0,0,3,0,0,2380,0.00
thezodiac,0.00,0.00,25,0,C++,-,61,0,134,0,0,134,3,0,0,2608,0.00
PnumaSON,0.00,0.00,12,0,C++,-,57,0,0,0,0,0,0,0,0,2400,0.00
bostikforever,0.00,0.00,6,0,Python,2.7,31,0,0,0,0,0,0,8,0,6544,0.00
suwik,0.00,0.01,8,0,C#,-,56,0,0,0,0,0,0,0,0,15904,0.01
windrises,0.00,0.00,0,0,C++,-,100,0,0,0,0,0,4,0,0,2460,0.00
skol,0.00,0.08,19,0,java,-,97,0,0,0,0,0,2,72,0,25396,0.09
PoliCuzzo,0.00,0.00,10,0,C++,-,41,0,0,0,0,0,0,0,0,2496,0.00
hqwhqwhq,0.00,0.00,6,0,C++,-,40,0,0,0,0,0,2,0,0,2632,0.00
JSimmons,0.00,0.00,22,0,C#,-,69,0,2,0,0,2,1,0,0,12032,0.00
varung97,0.00,0.00,4,0,Python,2.7,33,0,0,0,0,0,0,0,0,6512,0.00
meta,0.00,0.00,4,0,C++,-,48,0,0,0,0,0,0,0,0,2480,0.00
