user_id,penalty,points
Pascualino,8395,63
caldoria,8845,21
bodzaszorp,6437,16
roselone,6132,27
chompoo,3323,6
frank44,8205,63
papaya,7227,27
nickspoon,4710,43
zlqiszlq,9091,57
TheJorge,8969,10
kik,8684,63
thocevar,6785,63
dozing,3363,21
cpblnc,4625,21
Al.Cash,3192,63
youri,10098,27
dolphinigle,5527,100
rizar,5819,63
MonEtoile,7293,63
SkyMoon,9753,10
thm,7954,10
Stucki,7836,43
the,3588,21
brobo,7110,42
RomikT,7468,63
lavalamp,4637,21
mustafij,4654,27
phupx55,8314,21
Sedols,6206,27
chasingdream,4905,27
Peti,8307,63
romocop,9134,27
tiirz,5485,27
Moroten.old,5036,63
NateRiverxkh,7613,27
LXYXYNT,2692,27
Eryx,3890,63
iimanii,5468,6
mk.al13n,5593,63
czgee,7514,27
nlse,2750,21
KennethUlrich,8020,27
wzc1989,7971,63
LotK,6255,27
ctzsm,5536,27
Yakjangsu,8265,63
east,3541,21
Vitaliy,3988,63
apark,6597,27
swmuron,2457,21
bdot,8281,43
FameofLight,7017,16
ZhouYuChen,7569,45
Claybirdx,7374,16
Greenmoon55,5645,10
mildbeast,6403,16
thicos,2213,10
Rudolf,6867,27
Bidhan,2815,6
Nic.Roets,4354,21
LeNika,7908,63
archies,7560,21
eatmore,5291,100
rurouni,7011,27
dareonion,8777,52
fynjy,5460,16
amthabet,6574,63
jessoclarence,5700,6
imrankane2005,8098,21
trungh,4861,21
hphong591992,8735,63
Skiminok,5352,27
lamphanviet,3612,27
Jesus.Mesias,3826,16
pareshverma91,6876,21
shahriaroo,4781,6
Newen,7867,16
raja.baz,9346,63
VictorJavAdore,5493,21
nitsas,8769,53
in.tenebris.lucet,6579,16
baotiao,7059,10
kosvik,8691,27
ahxun2006,3705,10
SCL,2490,6
tmathmeyer,8286,21
wengzhy,9087,63
dr.ken,8587,27
di0gen,2718,27
cnx,7887,63
vedg,5013,27
hr0nix,8253,21
miguelkb,5230,16
YeungTW,9295,16
julip,3728,43
Cyanic,4214,10
Tigri,8068,43
HydroFuel,5511,27
malinovsky239,2089,27
srcerror,7972,46
kuba97531,8061,63
ASotelo,3194,21
Corea,6915,63
anorange0409,7676,63
smd777,2607,21
paingofb,6021,16
igoro,3111,27
dziadek,7837,27
Rajath,5777,6
hacker007,4967,6
SergeyMelnikov,2489,27
kikoo,4689,6
cheshire.cat,8531,63
Bkid,8064,10
mm751012,5601,6
courtesy,8169,27
DerekZhao,7074,27
MaiaZ,4315,21
bohuss,5521,10
MathGuy,8655,57
nnofa,3224,10
theli,2504,43
biltharesatyendra,9305,16
Mingbo,9466,21
Yasura,6966,21
aircube,5842,45
float,7865,27
TheDarer,9490,10
gojira,6064,100
sisu,3286,63
i.am.mani,6511,21
Torden,9449,16
ingdas,7509,16
helfper,8656,10
xenoky,9399,16
Floris,6598,21
Abraham,5646,6
rydotyosh,9489,10
ping.128,6867,27
aimhuang,8815,21
janq,7294,63
Amtrix,2563,27
Romka,4025,63
XRCatD,8938,27
NALP,4049,63
goodsky,8193,52
mdk,3680,27
nyan.bot,8574,21
marcvinyals,9027,63
GreatPhambino,7350,27
katchup,4404,42
MiddleBastard,5048,27
andreiv,6189,27
ameydhar,3149,6
DenisPostu,9774,16
Oleg805,4898,63
Loogmoo,7663,10
Glycine,8595,16
ankorol,9394,27
RenatoFerreira,9198,57
Geekoo,7603,21
mth,8588,63
astanoev,6490,10
xpycc,3939,16
Jennica,7130,16
PS.int,6959,52
Martynas,3962,27
Khongor,8271,45
el.primo,2822,6
ajmburgospp,2135,6
Safadurimo,9628,27
smithinsu,3997,27
Daniil.T.,6030,21
Crush,4966,27
mrussell,5129,6
vepifanov,5560,100
lelaloutre,11172,21
sjiang,7811,27
nullnull,2151,6
ZloyBastard,4694,27
thomastran,5862,27
Nipuna.Samarasekara,6493,16
kelltrick,4422,27
ChairBreaker,3628,6
chonan,5760,43
Fcdkbear,3703,27
j4nu5,4711,6
fswenton,8555,63
awesomepenguin,8549,21
dimle,7127,21
adamadam,3048,27
dianbei,5027,27
igorcanadi,6084,63
taurus,7365,36
TungBui,9248,16
CyrusWong,8133,10
Typhon,3851,21
jathak,3728,6
ferson2020,7107,27
Aroneous,7709,27
armakuni,3582,6
piob,4715,63
kivus,6346,63
stareven,9067,63
Anton92nd,8946,46
Jubanka,7332,10
koyus,8474,21
d.operator,7774,27
mkirsche,3202,21
EgorKulikov,3024,63
pancheng,9420,16
Phoris,3395,21
DreamLane,6294,64
Chiraag,5558,10
rox,5099,27
Payel,4921,6
OlegHaracidi,9097,27
vj.tcs,6588,10
mike.haverstock,6833,27
codeknight,7545,27
pjoubert,3461,21
gmunkhbaatarmn,9342,27
JaapB,8639,39
Wolfje,7306,63
UminchuR,2925,21
bminus,6091,27
ClaytonGDavis,4290,21
kingvash,6591,39
Bavetta,9326,10
A.I,4145,27
s.kabir,7769,16
king.of.the.world,4475,6
TrePe,3960,6
hamlet,4326,16
ashi009,3751,6
korifey,6025,16
intijk,4037,21
BIGMAJIA,3375,27
dbcooper22,9135,21
vinhphu1711,3815,6
mariusd,3731,27
valentin,7682,27
Matej,9066,63
wengsht,5512,27
wadayama,8516,27
VitalyGoldstein,8066,63
caustique,2116,27
alexmat21,8282,63
megaterik,5571,100
iiken,8425,16
domeng,6116,63
rlblaster,2177,27
nickie,4186,10
PaulJefferys,6966,100
MexMans,2674,27
jberci,4048,21
a180285,6516,63
David.Zhou,2981,10
Assaron,7864,63
rankalee,1841,21
johny42,6374,63
rafaeldaigo,9357,63
RyanLeonel,7076,16
Absoult,3971,10
curse,5676,21
madkite,7809,27
LightXu,9577,27
Aashi,6736,10
lisang,5065,27
malbarbo,5469,6
hexflashor,7194,10
