user_id,avg_memory,wall_clock,system_time,blanks,compiler_version,language,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
xhae,0,0.00,0.00,5,-,C++,31,0,0,0,0,0,0,0,0,20920,-,-,2504,0.00
xianbin5,0,0.31,0.00,35,-,C++,97,0,0,0,0,0,173,0,0,10240,-,-,2608,0.31
xianghe,0,0.00,0.00,4,-,C++,37,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1424,0.00
xidui,0,0.00,0.00,5,-,C++,44,0,0,0,0,0,8,0,0,29208,-,-,2548,0.00
xiping,0,0.00,0.00,12,-,C++,74,0,0,0,0,0,0,0,0,33968,-,-,2636,0.00
xithan,0,0.02,0.00,45,3.5,Python,207,0,0,0,0,0,85,0,0,1286,-,-,9504,0.02
xjcl,0,0.01,0.00,18,3.5,Python,31,0,0,0,0,0,9,0,0,-,-,-,8368,0.01
xneby,0,0.00,0.00,6,-,C++,34,0,0,0,0,0,0,0,0,34624,-,-,2496,0.00
xoxie,0,0.00,0.00,14,2.7,Python,29,0,0,0,0,0,11,0,0,1087,-,-,7092,0.00
xsot,0,0.01,0.00,3,2.7,Python,16,8,0,0,0,0,0,0,0,848,-,-,6656,0.01
xyang,-,-,-,2,2.7,Python,42,-,0,-,-,1,5,-,-,1430,-,File or Dir not found,-,-
y0105w49,0,0.00,0.00,9,-,C++,38,0,0,0,0,0,0,0,0,11264,-,-,2328,0.00
y07uc118,0,0.00,0.00,14,-,C++,91,0,0,0,0,0,0,0,0,9264,-,-,2616,0.00
y2smile,0,0.00,0.00,12,-,C++,67,0,0,0,0,134,8,0,0,25816,-,Unknown,2512,0.00
y9052541,0,0.00,0.00,0,-,C++,41,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1436,0.00
yagao0o,0,0.01,0.00,2,2.7,Python,33,8,0,0,0,0,7,8,0,1549,-,-,6676,0.00
yajun,0,0.00,0.00,9,-,C++,53,0,0,0,0,0,0,0,0,10064,-,-,2676,0.00
yamaton,-,-,-,9,3.5,Python,34,-,0,-,-,0,9,-,-,-,-,-,-,-
yanekk,0,0.00,0.00,3,-,C++,28,0,0,0,0,0,0,0,0,9168,-,-,2260,0.00
yangsiy,0,0.03,0.02,7,-,C++,85,0,0,0,0,0,1,944,0,10640,-,-,2592,0.00
yangyi,0,0.00,0.00,39,-,C++,74,0,0,0,0,1,77,0,0,10440,-,Unknown,2600,0.00
yanush00,0,0.00,0.00,8,-,C++,120,0,0,0,0,0,2,0,0,24392,-,-,2596,0.00
yerfdog,-,-,-,6,-,C#,77,-,0,-,-,1,1,-,-,4096,""""""""""""""""""""""""""""""": Unexpected symbol `)'""""""""""""""", expecting `,"""""""""""""""' or ` ' """"""""""""""""""""""""""""""",: System.IO.FileNotFoundException
yfo,0,0.03,0.00,16,-,Java,85,0,0,0,0,1,0,72,0,2948,-,java.io.FileNotFoundException:,23668,0.03
ykabaran,-,-,-,24,-,Java,134,-,1,-,-,-1,8,-,-,-,cannot find symbol,-,-,-
yonasstephen,0,0.02,0.00,26,-,C#,110,0,0,0,0,0,12,8,0,5632,-,-,13004,0.02
ysrhung,0,0.03,0.00,19,-,C#,69,0,0,0,0,0,27,8,0,5120,-,-,12192,0.03
ytlau9,0,0.00,0.00,4,-,C++,57,0,0,0,0,0,0,0,0,11176,-,-,2600,0.00
ytytyt,0,2.25,0.00,7,-,C++,91,0,0,0,0,0,5,0,0,10016,-,-,2516,2.17
yurp,0,0.00,0.00,27,-,C++,93,0,0,0,0,0,0,0,0,36552,-,-,2644,0.00
yzhuan,0,0.00,0.00,4,-,C++,48,0,0,0,0,0,2,0,0,9088,-,-,2600,0.00
zDule98,0,0.00,0.00,3,-,C++,34,0,0,0,0,0,1,0,0,7800,-,-,2208,0.00
zackblick,0,0.00,0.00,11,-,C++,103,0,0,0,0,0,4,0,0,13072,-,-,2492,0.00
zaskar,0,7.15,3.08,7,-,C++,58,0,0,0,0,0,0,137272,0,21992,-,-,2548,4.06
zdan,0,0.04,0.02,5,2.7,Python,25,0,0,0,0,0,0,8,0,1243,-,-,21204,0.02
zearom32,0,0.16,0.00,6,-,C++,93,0,0,0,0,0,0,0,0,17992,-,-,2480,0.16
zehir,0,0.03,0.00,7,2.7,Python,43,0,0,0,0,0,0,0,0,2592,-,-,7672,0.02
zengzhaoyang,0,0.00,0.00,2,-,C++,28,0,0,0,0,0,0,0,0,17776,-,-,2720,0.00
zhk,0,0.02,0.00,8,-,C++,73,0,0,0,0,0,3,0,0,9872,-,-,2744,0.02
zhuowei,0,0.77,0.00,4,3.5,Python,32,0,0,0,0,0,0,0,0,1435,-,-,7924,0.76
ziadouf,0,0.00,0.00,8,-,C++,82,0,0,0,0,0,2,0,0,37840,-,-,2564,0.00
zizhong,0,0.00,0.00,4,-,C++,69,0,0,0,0,0,5,0,0,17360,-,-,2500,0.00
zjsxzy,0,0.00,0.00,6,-,C++,41,0,0,0,0,0,1,0,0,8608,-,-,2620,0.00
zolution,0,0.00,0.00,7,-,C++,83,0,0,0,0,0,5,0,0,9768,-,-,2680,0.00
zouxun,0,0.00,0.00,3,-,C++,38,0,0,0,0,0,0,0,0,35960,-,-,2560,0.00
