user_id,avg_memory,wall_clock,system_time,blanks,compiler_version,language,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
Pred4c3,0,0.00,0.00,1,3.5,Python,8,0,1,0,0,2,0,0,0,-,7164,0.00
Prim,0,0.00,0.00,5,-,C++,30,0,0,0,0,0,2,0,0,11104,2364,0.00
ProjectZero,0,0.00,0.00,4,-,C++,28,0,0,0,0,0,1,0,0,10064,2384,0.00
Prowindy,0,0.00,0.00,6,-,C++,42,0,0,0,0,0,0,0,0,10024,2600,0.00
PugachAG,0,0.00,0.00,3,-,C++,39,0,0,0,0,0,0,0,0,10176,2472,0.00
PurpleHeart,0,0.00,0.00,2,-,C++,12,0,0,0,0,0,0,0,0,7328,2280,0.00
Pyvain,0,0.00,0.00,20,std=c11,C,62,0,0,0,0,127,39,0,0,8656,1276,0.00
Q112,-,-,-,14,2.7,Python,16,-,0,-,-,1,0,-,-,-,-,-
QPHutu,0,0.00,0.00,5,-,C++,58,0,0,0,0,0,0,0,0,8984,2668,0.00
QuangHuynh,0,0.00,0.00,1,-,C++,14,0,0,0,0,0,0,1328,0,9752,2708,0.00
Quy,0,0.05,0.00,4,-,Java,42,0,0,0,0,1,5,64,0,1206,21248,0.04
Qwaz,0,0.00,0.00,6,-,C++,15,0,0,0,0,0,0,8,0,7712,2280,0.00
RLM,0,0.00,0.00,1,-,C++,9,0,0,0,0,0,0,0,0,9920,2388,0.00
RQM6,0,0.00,0.00,1,-,C++,14,0,0,0,0,0,0,0,0,9912,2620,0.00
RRichard,0,0.00,0.00,2,-,C++,19,0,0,0,0,0,0,8,0,10024,2592,0.00
RS205,0,0.00,0.00,14,-,C++,47,0,0,0,0,0,0,0,0,12480,2628,0.00
Ra8,0,0.00,0.00,1,-,C++,41,0,0,0,0,0,0,0,0,10136,2368,0.00
RaJin,0,0.00,0.00,1,-,C++,18,0,0,0,0,0,0,1328,0,8552,2748,0.00
RadiantRazor,-,-,-,6,-,Java,44,-,1,-,-,-1,6,-,-,-,-,-
Rafiki53,0,0.00,0.00,2,-,C++,36,0,0,0,0,0,0,0,0,18520,2456,0.00
Rahotop,0,0.00,0.00,11,-,C++,35,0,0,0,0,0,0,0,0,11088,2496,0.00
RahulBhati,0,0.00,0.00,8,-,C++,51,0,0,0,0,134,5,0,0,11680,2572,0.00
Raiker,0,0.00,0.00,10,-,C++,27,0,0,0,0,0,0,0,0,10040,2388,0.00
Rajnikanth,0,4.72,3.37,0,-,C++,60,0,0,0,0,0,0,186384,0,10136,2368,1.04
Ramesses,0,0.01,0.00,6,-,C++,32,0,0,0,0,0,0,0,0,10232,2536,0.00
Ramprakash,0,0.00,0.00,0,-,C++,16,0,0,0,0,0,0,0,0,9912,2460,0.00
RaresCristian,0,0.00,0.00,13,-,C++,30,0,0,0,0,136,1,0,0,10416,2320,0.00
Rasmus,0,0.00,0.00,4,-,C++,56,0,0,0,0,0,2,0,0,9928,2488,0.00
Rasto,0,0.00,0.00,5,2.7,Python,30,40,0,0,0,0,1,0,0,-,6528,0.00
Ratmir15,0,0.04,0.00,9,-,Java,81,0,0,0,0,1,6,64,0,2533,21508,0.04
Raynger,0,0.00,0.00,0,3.5,Python,9,0,0,0,0,2,0,0,0,-,7264,0.00
ReaverSe,0,0.00,0.00,6,-,C,16,0,0,0,0,127,0,0,0,7376,1428,0.00
Rebeca,0,0.00,0.00,3,-,C++,21,0,0,0,0,0,0,0,0,7216,2252,0.00
Retrograd,0,0.01,0.00,7,-,C++,22,0,0,0,0,0,0,1328,0,8696,2604,0.00
Revival,-,-,-,4,-,C++,35,-,1,-,-,-1,2,-,-,-,-,-
RexII,0,0.00,0.00,13,-,C++,39,0,1,0,0,127,0,0,0,-,1432,0.00
Rezzz,0,0.00,0.00,8,-,C++,35,0,0,0,0,0,0,0,0,11000,2476,0.00
RicolaNouland,0,0.05,0.01,16,-,Java,54,0,0,0,0,0,6,64,0,2680,21296,0.03
Riv,0,0.00,0.00,27,-,C++,88,0,0,0,0,0,3,0,0,25392,2500,0.00
RogerB,0,0.05,0.01,2,-,Java,18,0,0,0,0,1,0,64,0,912,21436,0.03
Rolfson,0,0.00,0.00,5,2.7,Python,15,0,0,0,0,2,0,0,0,-,6220,0.00
Ronnoc,0,0.00,0.00,2,-,C++,46,0,0,0,0,0,1,0,0,11040,2544,0.00
Rozwel,-,-,-,3,-,C#,36,-,1,-,-,-1,0,-,-,-,-,-
Ruhil,0,0.00,0.00,3,-,C++,11,0,0,0,0,0,0,0,0,7224,2256,0.00
RuslanGatin,0,0.00,0.00,11,-,C++,79,0,0,0,0,0,3,0,0,10664,2540,0.00
Ryan,0,0.20,0.00,17,-,Java,60,0,0,0,0,0,1,64,0,2165,44972,0.22
Rysiek,0,0.00,0.00,5,-,C++,13,0,0,0,0,0,0,0,0,7232,2408,0.00
Ryzhkov,0,0.05,0.00,8,-,Java,97,0,0,0,0,1,51,64,0,2320,21660,0.04
SANCHUI0814,0,0.00,0.00,8,-,C++,18,0,0,0,0,0,0,0,0,7232,2372,0.00
SCL,0,0.04,0.00,5,-,Java,24,0,0,0,0,1,0,64,0,1455,21420,0.03
SHA2,0,0.00,0.00,3,2.7,Python,22,8,0,0,0,0,0,0,0,-,6584,0.00
SIben,0,0.00,0.00,5,-,C,19,0,0,0,0,127,1,0,0,7640,1396,0.00
SONG,0,0.08,0.00,13,-,Java,87,0,0,0,0,0,4,64,0,2271,24720,0.07
SPiCa,0,0.00,0.00,2,-,C++,39,0,0,0,0,0,0,0,0,8080,2168,0.00
SSSSSS,0,0.04,0.01,2,-,Java,32,0,0,0,0,0,5,72,0,1764,21444,0.03
SWPro,0,0.05,0.00,5,-,Java,16,0,0,0,0,1,0,64,0,995,21292,0.04
SYAP,0,0.06,0.00,19,-,Java,142,0,0,0,0,1,3,64,0,5529,21452,0.04
SaMer,0,0.00,0.00,4,-,C++,22,0,0,0,0,0,7,0,0,9816,2528,0.00
Safadurimo,0,0.00,0.00,23,-,C++,53,0,0,0,0,136,1,0,0,11832,2464,0.00
Sahara,0,0.00,0.00,1,-,C++,21,0,0,0,0,0,0,0,0,9912,2488,0.00
SahilK,0,0.00,0.00,3,-,C++,23,0,0,0,0,0,0,0,0,9952,2588,0.00
Sajay,-,-,-,11,-,C++,35,-,1,-,-,-1,0,-,-,-,-,-
Salls,0,0.00,0.00,7,-,C++,25,0,0,0,0,0,0,0,0,9920,2472,0.00
Sambino,0,0.04,0.00,37,-,Java,203,0,0,0,0,1,3,64,0,2146,21512,0.04
Sameth,0,0.00,0.00,4,-,C++,36,0,0,0,0,0,0,0,0,8200,2700,0.00
Samjay,0,0.05,0.00,22,-,Java,161,0,0,0,0,1,1,64,0,2382,21484,0.05
Sammarize,0,0.00,0.00,6,-,C++,15,0,0,0,0,0,0,0,0,8296,2700,0.00
Sammax,0,0.00,0.00,15,-,C++,84,0,0,0,0,0,7,0,0,10072,2744,0.00
Samsaray,0,0.00,0.00,1,-,C++,24,0,0,0,0,0,0,1328,0,8504,2708,0.00
SanSiroWaltz,0,0.00,0.00,3,-,C++,18,0,0,0,0,136,0,0,0,7768,2108,0.00
SangRhee,0,0.12,0.02,16,-,Java,41,0,0,0,0,0,2,64,0,1534,24552,0.08
Sanityking,0,0.00,0.00,2,-,C++,23,0,1,0,0,127,3,0,0,-,1420,0.00
